Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Australia (AU),aus,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Austria (AT),aut,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,GUANTANAMO BAY NAVAL BASE (A2),ax2,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Azerbaijan (AZ),aze,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Burundi (BI),bdi,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Belgium (BE),bel,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Benin (BJ),ben,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Bonaire, Sint Eustatius and Saba (BQ)",bes,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Burkina Faso (BF),bfa,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bangladesh (BD),bgd,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bulgaria (BG),bgr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bahrain (BH),bhr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Bahamas, The (BS)",bhs,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bosnia And Herzegovina (BA),bih,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Saint Barthelemy (BL),blm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Belarus (BY),blr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Belize (BZ),blz,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bermuda (BM),bmu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bolivia (BO),bol,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Brazil (BR),bra,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Barbados (BB),brb,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Brunei (BN),brn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bhutan (BT),btn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Bouvet Island (BV),bvt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Botswana (BW),bwa,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Central African Republic (CF),caf,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Canada (CA),can,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cocos (Keeling) Islands (CC),cck,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Switzerland (CH),che,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Chile (CL),chl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,China (CN),chn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cote D'Ivoire (CI),civ,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cameroon (CM),cmr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Congo (Kinshasa), Democratic Republic Of The (CD)",cod,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Congo (Brazzaville) (CG),cog,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cook Islands (CK),cok,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Colombia (CO),col,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Comoros (KM),com,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Clipperton Island (CP),cpt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cape Verde (CV),cpv,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Costa Rica (CR),cri,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cuba (CU),cub,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Curacao (CW),cuw,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Christmas Island (CX),cxr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cayman Islands (KY),cym,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cyprus (CY),cyp,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Czech Republic (CZ),cze,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Germany (DE),deu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Diego Garcia (DG),dga,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Djibouti (DJ),dji,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Dominica (DM),dma,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Denmark (DK),dnk,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Dominican Republic (DO),dom,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Algeria (DZ),dza,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Ecuador (EC),ecu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Egypt (EG),egy,,
