Area Size UOM (areaSizeUom),Building Condition (buildingCondition),Building Condition Index (buildingConditionIndex),Building Custodial Type (buildingCustodialType),Building Op Status (buildingOpStatus),Country (country),Data Collection (dataCollection),Elevation Unit of Measure (elevationUom),Facility Condition Code (facilityConditionCode),Facility Gross Sq Ft UOM (facilityGrossSqFtUom),Flex Field Boolean (flexFieldYn),Has Giant Voice (hasGiantVoice),has Mass Notification Device (hasMassNotificationDevice),Height Max Uom (heightMaxUom),Installation Identifier (installationId),Installation Name (installationName),Is Heritage Asset (isHeritageAsset),Is Real Property (isRealProperty),Major Command (majorCommand),Mission Dependency Index (missionDependencyIndex),Owner (owner),Perimeter Size UOM (perimeterSizeUom),Road Post Directional (roadPostDirectional),Road Prefix Directional (roadPrefixDirectional),Real Property Interest (rpInterest),RPA Construction Type (rpaConstructionType),Real Property Asset Type (rpaType),Real Property Site Unique Identifier (rpsuid),Site ID (siteId),State or Territory Name (stateName),Vertical Datum Type (verticalDatumType),Visitor Map Name (visitorMapName)
,Habitable (habitable),,,,Benin (BJ) (ben),LIDAR (lidar),Kilometer (kilometre),,,,,,Kilometer (kilometre),baey - Beale AFB (baey),Blue Ash ANGS (blueAshAngs),,,,,US Coast Guard (uscg),Kilometer (kilometre),,,,,,1361 - Altus Air Force Base Site 1 (1361),aggn0004 - Quartz Mtn-Leased Land (aggn0004),IA (ia),Greenwich Low Water Interval (lwi),Post Office (postOffice)
,Not Habitable (habitableNo),,,,"Bonaire, Sint Eustatius and Saba (BQ) (bes)",Optical Survey (opticalSurvey),Kiloyard (kiloyard),,,,,,Kiloyard (kiloyard),bjhz - Bergstrom AFB (BRAC) (bjhz),Boise Air Terminal AGS (boiseAirTerminalAgs),,,,,US Marine Corps (usmc),Kiloyard (kiloyard),,,,,,1362 - Altus Ils Middle Marker Annex Site 1 (1362),aggs0001 - Altus ILS Middle Marker Annex Site #1 (aggs0001),ID (id),Low Water Reference Plane (lwrp),Shopette (shopette)
,For Minor Use (minorUse),,,,Burkina Faso (BF) (bfa),Other (other),Meter (metre),,,,,,Meter (metre),bktz - Nashville International Airport AGS (bktz),Bradley International Airport AGS (bradleyIApAgs),,,,,US Marine Corps Reserve (usmcr),Meter (metre),,,,,,1363 - Alzada 21Mm02 Mini Mute Radar Site 1 (1363),"agtc0001 - Alzada Mini-Mutes Radar Site, Site #1 (agtc0001)",IL (il),Mean Higher High Water (mhhw),Tours and Travel (toursAndTravel)
,Newly Built (newlyBuilt),,,,Bangladesh (BD) (bgd),As-Built Drawing - Paper (paperAsBuilt),Micrometer (micrometre),,,,,,Micrometer (micrometre),brkr - Sumpter Smith ANGB (Birmingham IAP) (brkr),Brooks City Base (brooksCityBase),,,,,US Navy (usn),Micrometer (micrometre),,,,,,1364 - Alzada 21Mm08 Mini Mute Radar Site 1 (1364),agte0001 - Alzada Mini-Mute Radar Site (agte0001),IN (in),Mean High Water (mhw),Vehicle Inspection (vehicleInspection)
,New and Unfinished (newUnfinish),,,,Bulgaria (BG) (bgr),Record Drawing - Paper (paperDrawing),Millimeter (millimetre),,,,,,Millimeter (millimetre),bvgm - Blue Ash ANGS (bvgm),Buckley SFB (buckleySfb),,,,,US Navy Reserve (usnr),Millimeter (millimetre),,,,,,1377 - Andrews Site 1 (1377),"ajka0001 - Andersen AFB, Santa Rosa Parcel C (ajka0001)",KS (ks),Mean Low Gulf (mlg),Wood Skills Center (woodSkillsCenter)
,No Trespassing (noTrespassing),,,,Bahrain (BH) (bhr),Sampling (sampling),Not Applicable (na),,,,,,Not Applicable (na),bwkr - Eaker AFB (BRAC) (bwkr),Buckley Annex (buckleyAnnex),,,,,United States Space Force (ussf),Not Applicable (na),,,,,,1378 - Andrews Annex Site  1 (1378),"ajke0001 - Andersen AFB, Barrigada (ajke0001)",KY (ky),Mean Lower Low Water (mllw),
,Other (other),,,,"Bahamas, The (BS) (bhs)",SCADA (scada),Nanometer (nanometre),,,,,,Nanometer (nanometre),bxrh - Boise Air Terminal (Gowen Field) AGS (bxrh),Buechel AB (buechelAb),,,,,Washington Headquarters Service (whs),Nanometer (nanometre),,,,,,1379 - Ankara Administration Office Site #1  (1379),ajxf0001 - Andrews Site #1 (ajxf0001),LA (la),Mean Low Water (mlw),
,Poor (poor),,,,Bosnia And Herzegovina (BA) (bih),Sketched (sketched),Nautical Mile (nauticalMile),,,,,,Nautical Mile (nauticalMile),bxur - JB Anacostia-Bolling (bxur),Burlington International Airport AGS (burlingtonIApAgs),,,,,,Nautical Mile (nauticalMile),,,,,,1380 - Alamogordo Ratscat (1380),ajxj0001 - Andrews Annex Site #1 (ajxj0001),MA (ma),MLWRP (mlwrp),
,Estimated in Poor Condition (poorEstimated),,,,Saint Barthelemy (BL) (blm),SPM (spm),Picometer (picometre),,,,,,Picometer (picometre),cekt - Bradley International Airport AGS (cekt),Camp Beauregard Training Site (campBeauregardTrainingSite),,,,,,Picometer (picometre),,,,,,1381 - Antelope Ridge Radio Relay Site 1 (1381),aknr0001 - Ankara Administration Office Site #1 (aknr0001),MD (md),Mean Range of Tide (mn),
,Quarantined (quarantined),,,,Belarus (BY) (blr),Tape Measure (tapeMeasure),Statute Mile (statuteMile),,,,,,Statute Mile (statuteMile),cnbc - Brooks City Base (BRAC) (cnbc),Camp Blanding Military Reservation (campBlandingMilitaryReservation),,,,,,Statute Mile (statuteMile),,,,,,1382 - Antelope Butte 21Mm06 Mini Mute Radar Site 1 (1382),alay0001 - Alamogordo Site #1 (alay0001),ME (me),Mean Sea Level (msl),
