areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
,,,,,cok,,,,,,,,,dpez,columbusAfb,,,,,,,,,,,,1409,asje0001,ot,,
,,,,,col,,,,,,,,,dpnb,costaMesaAngs,,,,,,,,,,,,1410,asjj0001,pa,,
,,,,,com,,,,,,,,,dxeb,coyleAngTrainingAnnex,,,,,,,,,,,,1411,asjk0001,pr,,
,,,,,cpt,,,,,,,,,eazp,creechAfb,,,,,,,,,,,,1412,asjp0001,pw,,
,,,,,cpv,,,,,,,,,eepz,daneCountyRApTruaxFieldAngb,,,,,,,,,,,,1413,asjq0001,ri,,
,,,,,cri,,,,,,,,,egyn,davisMonthanAfb,,,,,,,,,,,,1414,aspq0001,sc,,
,,,,,cub,,,,,,,,,eqtl,desMoinesIApAgs,,,,,,,,,,,,1415,aspr0001,sd,,
,,,,,cuw,,,,,,,,,ervd,dobbinsArb,,,,,,,,,,,,1416,atgb0001,tbd,,
,,,,,cxr,,,,,,,,,erwm,dothanRegionalAirportAngs,,,,,,,,,,,,1417,atgc0001,tn,,
,,,,,cym,,,,,,,,,etrd,doverAfb,,,,,,,,,,,,1418,atgd0001,tx,,
,,,,,cyp,,,,,,,,,eubc,duluthAgs,,,,,,,,,,,,1419,atge0001,um,,
,,,,,cze,,,,,,,,,exsw,dyessAfb,,,,,,,,,,,,1420,atgf0001,un,,
,,,,,deu,,,,,,,,,fakz,eakerAfb,,,,,,,,,,,,1422,atgg0001,ut,,
,,,,,dga,,,,,,,,,fbnv,earecksonAs,,,,,,,,,,,,1423,atgh0001,va,,
,,,,,dji,,,,,,,,,ffan,easternAirDefenseSectorAng,,,,,,,,,,,,1425,atgi0001,vi,,
,,,,,dma,,,,,,,,,fgwb,easternWvRegionalArptShepherdFieldAgs,,,,,,,,,,,,1426,atpz0001,vt,,
,,,,,dnk,,,,,,,,,fjrp,edwardsAfb,,,,,,,,,,,,1427,atqz0001,wa,,
,,,,,dom,,,,,,,,,fjxt,eglinAfb,,,,,,,,,,,,1428,atqz0002,wi,,
,,,,,dza,,,,,,,,,fknn,eielsonAfb,,,,,,,,,,,,1429,atqz0003,wv,,
,,,,,ecu,,,,,,,,,fmkm,ellingtonFieldAgs,,,,,,,,,,,,1430,atqz0004,wy,,
