Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
country,Country,CodedValue,CountryCode,Comoros (KM),com,,
country,Country,CodedValue,CountryCode,Clipperton Island (CP),cpt,,
country,Country,CodedValue,CountryCode,Cape Verde (CV),cpv,,
country,Country,CodedValue,CountryCode,Costa Rica (CR),cri,,
country,Country,CodedValue,CountryCode,Cuba (CU),cub,,
country,Country,CodedValue,CountryCode,Curacao (CW),cuw,,
country,Country,CodedValue,CountryCode,Christmas Island (CX),cxr,,
country,Country,CodedValue,CountryCode,Cayman Islands (KY),cym,,
country,Country,CodedValue,CountryCode,Cyprus (CY),cyp,,
country,Country,CodedValue,CountryCode,Czech Republic (CZ),cze,,
country,Country,CodedValue,CountryCode,Germany (DE),deu,,
country,Country,CodedValue,CountryCode,Diego Garcia (DG),dga,,
country,Country,CodedValue,CountryCode,Djibouti (DJ),dji,,
country,Country,CodedValue,CountryCode,Dominica (DM),dma,,
country,Country,CodedValue,CountryCode,Denmark (DK),dnk,,
country,Country,CodedValue,CountryCode,Dominican Republic (DO),dom,,
country,Country,CodedValue,CountryCode,Algeria (DZ),dza,,
country,Country,CodedValue,CountryCode,Ecuador (EC),ecu,,
country,Country,CodedValue,CountryCode,Egypt (EG),egy,,
country,Country,CodedValue,CountryCode,Eritrea (ER),eri,,
country,Country,CodedValue,CountryCode,Western Sahara (EH),esh,,
country,Country,CodedValue,CountryCode,Spain (ES),esp,,
country,Country,CodedValue,CountryCode,Estonia (EE),est,,
country,Country,CodedValue,CountryCode,Ethiopia (ET),eth,,
country,Country,CodedValue,CountryCode,Finland (FI),fin,,
country,Country,CodedValue,CountryCode,Fiji (FJ),fji,,
country,Country,CodedValue,CountryCode,Falkland Islands (Islas Malvinas) (FK),flk,,
country,Country,CodedValue,CountryCode,France (FR),fra,,
country,Country,CodedValue,CountryCode,Faroe Islands (FO),fro,,
country,Country,CodedValue,CountryCode,Fed States Micronesia (FM),fsm,,
country,Country,CodedValue,CountryCode,Gabon (GA),gab,,
country,Country,CodedValue,CountryCode,United Kingdom (GB),gbr,,
country,Country,CodedValue,CountryCode,Georgia (GE),geo,,
country,Country,CodedValue,CountryCode,Guernsey (GG),ggy,,
country,Country,CodedValue,CountryCode,Ghana (GH),gha,,
country,Country,CodedValue,CountryCode,Gibraltar (GI),gib,,
country,Country,CodedValue,CountryCode,Guinea (GN),gin,,
country,Country,CodedValue,CountryCode,Guadeloupe (GP),glp,,
country,Country,CodedValue,CountryCode,"Gambia, The (GM)",gmb,,
country,Country,CodedValue,CountryCode,Guinea-Bissau (GW),gnb,,
country,Country,CodedValue,CountryCode,Equatorial Guinea (GQ),gnq,,
country,Country,CodedValue,CountryCode,Greece (GR),grc,,
country,Country,CodedValue,CountryCode,Grenada (GD),grd,,
country,Country,CodedValue,CountryCode,Greenland (GL),grl,,
country,Country,CodedValue,CountryCode,Guatemala (GT),gtm,,
country,Country,CodedValue,CountryCode,French Guiana (GF),guf,,
country,Country,CodedValue,CountryCode,Guam (GU),gum,,
country,Country,CodedValue,CountryCode,Guyana (GY),guy,,
country,Country,CodedValue,CountryCode,Hong Kong (HK),hkg,,
country,Country,CodedValue,CountryCode,Heard Island and McDonald Islands (HM),hmd,,
country,Country,CodedValue,CountryCode,Honduras (HN),hnd,,
country,Country,CodedValue,CountryCode,Croatia (HR),hrv,,
country,Country,CodedValue,CountryCode,Haiti (HT),hti,,
country,Country,CodedValue,CountryCode,Hungary (HU),hun,,
country,Country,CodedValue,CountryCode,Indonesia (ID),idn,,
country,Country,CodedValue,CountryCode,"Man, Isle Of (IM)",imn,,
country,Country,CodedValue,CountryCode,India (IN),ind,,
country,Country,CodedValue,CountryCode,British Indian Ocean Territory (IO),iot,,
country,Country,CodedValue,CountryCode,Ireland (IE),irl,,
country,Country,CodedValue,CountryCode,Iran (IR),irn,,
country,Country,CodedValue,CountryCode,Iraq (IQ),irq,,
country,Country,CodedValue,CountryCode,Iceland (IS),isl,,
country,Country,CodedValue,CountryCode,Israel (IL),isr,,
country,Country,CodedValue,CountryCode,Italy (IT),ita,,
country,Country,CodedValue,CountryCode,Jamaica (JM),jam,,
country,Country,CodedValue,CountryCode,Jersey (JE),jey,,
country,Country,CodedValue,CountryCode,Jordan (JO),jor,,
country,Country,CodedValue,CountryCode,Japan (JP),jpn,,
country,Country,CodedValue,CountryCode,Kazakhstan (KZ),kaz,,
country,Country,CodedValue,CountryCode,Kenya (KE),ken,,
country,Country,CodedValue,CountryCode,Kyrgyzstan (KG),kgz,,
country,Country,CodedValue,CountryCode,Cambodia (KH),khm,,
country,Country,CodedValue,CountryCode,Kiribati (KI),kir,,
country,Country,CodedValue,CountryCode,St. Kitts And Nevis (KN),kna,,
country,Country,CodedValue,CountryCode,"Korea, Republic Of (KR)",kor,,
country,Country,CodedValue,CountryCode,Kuwait (KW),kwt,,
country,Country,CodedValue,CountryCode,Laos (LA),lao,,
country,Country,CodedValue,CountryCode,Lebanon (LB),lbn,,
country,Country,CodedValue,CountryCode,Liberia (LR),lbr,,
country,Country,CodedValue,CountryCode,Libya (LY),lby,,
country,Country,CodedValue,CountryCode,St. Lucia (LC),lca,,
country,Country,CodedValue,CountryCode,Liechtenstein (LI),lie,,
country,Country,CodedValue,CountryCode,Sri Lanka (LK),lka,,
country,Country,CodedValue,CountryCode,Lesotho (LS),lso,,
country,Country,CodedValue,CountryCode,Lithuania (LT),ltu,,
country,Country,CodedValue,CountryCode,Luxembourg (LU),lux,,
country,Country,CodedValue,CountryCode,Latvia (LV),lva,,
country,Country,CodedValue,CountryCode,Macau (MO),mac,,
country,Country,CodedValue,CountryCode,St. Martin (MF),maf,,
country,Country,CodedValue,CountryCode,Morocco (MA),mar,,
country,Country,CodedValue,CountryCode,Monaco (MC),mco,,
country,Country,CodedValue,CountryCode,Moldova (MD),mda,,
country,Country,CodedValue,CountryCode,Madagascar (MG),mdg,,
country,Country,CodedValue,CountryCode,Maldives (MV),mdv,,
